referencia, erro, leitura
180,-260,440
180,-260,440
180,-260,440
180,-260,440
180,-260,440
180,-260,440
180,-260,440
180,-260,440
180,-260,440
180,-252,432
180,-126,306
180,-26,206
180,73,107
180,67,113
180,57,123
180,62,118
180,74,106
180,74,106
180,78,102
180,77,103
180,77,103
180,75,105
180,77,103
180,76,104
180,74,106
180,76,104
180,75,105
180,77,103
180,78,102
180,77,103
180,78,102
180,77,103
180,75,105
180,77,103
180,75,105
180,77,103
180,78,102
180,77,103
180,77,103
180,77,103
180,76,104
180,76,104
180,75,105
180,77,103
180,75,105
180,78,102
180,78,102
180,76,104
180,76,104
180,76,104
180,75,105
180,79,101
180,75,105
180,77,103
180,75,105
180,78,102
180,76,104
180,77,103
180,74,106
180,75,105
180,75,105
180,73,107
180,71,109
180,67,113
180,65,115
180,61,119
180,57,123
180,53,127
180,45,135
180,39,141
180,34,146
180,22,158
180,9,171
180,-10,190
180,-22,202
180,-42,222
180,-54,234
180,-72,252
180,-74,254
180,-65,245
180,-58,238
180,-40,220
180,-28,208
180,-14,194
180,-6,186
180,3,177
180,12,168
180,13,167
180,12,168
180,6,174
180,1,179
180,-3,183
180,-4,184
180,-9,189
180,-16,196
180,-12,192
180,-20,200
180,-15,195
180,-16,196
180,-18,198
180,-15,195
180,-16,196
180,-13,193
180,-17,197
180,-13,193
180,-16,196
180,-18,198
180,-14,194
180,-15,195
180,-16,196
180,-13,193
180,-13,193
180,-17,197
180,-15,195
180,-12,192
180,-19,199
180,-10,190
180,-13,193
180,-12,192
180,-12,192
180,-12,192
180,-10,190
180,-11,191
180,-9,189
180,-10,190
180,-14,194
180,-14,194
180,-50,230
180,-111,291
180,-170,350
180,-225,405
180,-260,440
180,-260,440
180,-260,440
180,-260,440
180,-260,440
180,-254,434
180,-184,364
180,-105,285
180,-41,221
180,36,144
180,78,102
180,76,104
180,77,103
180,76,104
180,75,105
180,77,103
180,76,104
180,77,103
180,74,106
180,77,103
180,76,104
180,77,103
180,79,101
180,78,102
180,79,101
180,73,107
180,76,104
180,75,105
180,74,106
180,76,104
180,76,104
180,76,104
180,76,104
180,76,104
180,75,105
180,78,102
180,77,103
180,75,105
180,77,103
180,75,105
180,76,104
180,75,105
180,76,104
180,75,105
180,75,105
180,76,104
180,75,105
180,77,103
180,75,105
180,75,105
180,76,104
180,77,103
180,71,109
180,72,108
180,65,115
180,62,118
180,53,127
180,43,137
180,33,147
180,19,161
180,-2,182
180,-21,201
180,-46,226
180,-73,253
180,-94,274
180,-126,306
180,-132,312
180,-144,324
180,-165,345
180,-169,349
180,-152,332
180,-159,339
180,-146,326
180,-136,316
180,-118,298
180,-95,275
180,-68,248
180,-36,216
180,-5,185
180,26,154
180,55,125
180,77,103
180,73,107
180,73,107
180,75,105
180,75,105
180,76,104
180,76,104
180,77,103
180,77,103
180,77,103
180,76,104
180,76,104
180,76,104
180,73,107
180,75,105
180,76,104
180,75,105
180,73,107
180,71,109
180,66,114
180,62,118
180,57,123
180,50,130
180,42,138
180,32,148
180,18,162
180,6,174
180,-16,196
180,-41,221
180,-67,247
180,-84,264
180,-98,278
180,-127,307
180,-130,310
180,-154,334
180,-142,322
180,-142,322
180,-127,307
180,-128,308
180,-109,289
180,-87,267
180,-77,257
180,-47,227
180,-14,194
180,10,170
180,29,151
180,52,128
180,73,107
180,74,106
180,70,110
180,67,113
180,68,112
180,63,117
180,66,114
180,65,115
180,63,117
180,63,117
180,64,116
180,64,116
180,61,119
180,65,115
180,62,118
180,62,118
180,58,122
180,52,128
180,48,132
180,44,136
180,41,139
180,37,143
180,29,151
180,20,160
180,11,169
180,-5,185
180,-28,208
180,-39,219
180,-69,249
180,-87,267
180,-94,274
180,-94,274
180,-108,288
180,-99,279
180,-102,282
180,-84,264
180,-73,253
180,-59,239
180,-37,217
180,-15,195
180,-2,182
180,9,171
180,21,159
180,25,155
180,28,152
180,30,150
180,32,148
180,30,150
180,26,154
180,24,156
180,24,156
180,18,162
180,13,167
180,8,172
180,-4,184
180,-14,194
180,-21,201
180,-33,213
180,-43,223
180,-45,225
180,-41,221
180,-47,227
180,-38,218
180,-32,212
180,-23,203
180,-18,198
180,-15,195
180,-4,184
180,-2,182
180,1,179
180,0,180
180,-1,181
180,-4,184
180,-5,185
180,-4,184
180,-3,183
180,1,179
180,-3,183
180,-4,184
180,-4,184
180,-3,183
180,-3,183
180,-3,183
180,-4,184
180,-6,186
180,-5,185
180,-7,187
180,-3,183
180,-2,182
180,-4,184
180,-3,183
180,-2,182
180,-5,185
180,-2,182
180,-3,183
180,-6,186
180,-5,185
180,-6,186
180,-3,183
180,-3,183
180,-6,186
180,-2,182
180,-8,188
180,-5,185
180,-4,184
180,-1,181
180,-4,184
180,-2,182
180,-4,184
180,-4,184
180,-2,182
180,-4,184
180,-5,185
180,-2,182
180,-1,181
180,-4,184
180,-3,183
180,-5,185
180,-3,183
180,-3,183
180,-4,184
180,-3,183
180,-5,185
180,-4,184
180,-7,187
180,-5,185
180,-2,182
180,-1,181
180,-5,185
180,-5,185
180,-3,183
180,-4,184
180,-3,183
180,-5,185
180,-4,184
180,-5,185
180,-4,184
180,-3,183
180,-5,185
180,-6,186
180,-5,185
