referencia, erro, leitura
150,20,130
150,20,130
150,19,131
150,16,134
150,15,135
150,18,132
150,18,132
150,19,131
150,17,133
150,16,134
150,16,134
150,18,132
150,15,135
150,9,141
150,5,145
150,-3,153
150,-16,166
150,-27,177
150,-28,178
150,-35,185
150,-33,183
150,-22,172
150,-17,167
150,-7,157
150,6,144
150,20,130
150,34,116
150,40,110
150,39,111
150,32,118
150,16,134
150,-1,151
150,-19,169
150,-42,192
150,-53,203
150,-64,214
150,-85,235
150,-82,232
150,-64,214
150,-46,196
150,-15,165
150,33,117
150,45,105
150,40,110
150,35,115
150,33,117
150,29,121
150,28,122
150,23,127
150,18,132
150,12,138
150,13,137
150,6,144
150,7,143
150,5,145
150,12,138
150,9,141
150,7,143
150,7,143
150,3,147
150,3,147
150,-2,152
150,-5,155
150,-14,164
150,-9,159
150,-10,160
150,-6,156
150,-2,152
150,1,149
150,4,146
150,7,143
150,4,146
150,-1,151
150,-1,151
150,-1,151
150,-3,153
150,0,150
150,-2,152
150,-2,152
150,0,150
150,-3,153
150,-4,154
150,-5,155
150,-4,154
150,1,149
150,4,146
150,2,148
150,0,150
150,-2,152
150,3,147
150,0,150
150,4,146
150,0,150
150,1,149
150,-2,152
150,2,148
150,0,150
150,3,147
150,4,146
150,2,148
